item	id	size	pickup_x	pickup_y	deliver_x	deliver_y	kilos	skills
envelope 1  1  13745   55419   13883   55756  1   normal
envelope 2  2  8406    53246   13937   55854  2   normal|freezer
envelope 3  3  15738   57396   35996   79499  3   normal
envelope 4  2  12045   60418   19349   57118  2   normal
envelope 5  1  13750   56416   35733   78403  1   normal
envelope 6  1  13190   57068   11860   59749  1   normal
envelope 7  1  15021   55768   14098   57379  10   normal|freezer
envelope 8  1  11513   58543   11501   59683  1   normal
envelope 9  1  12013   64155   14120   59301  1   normal
envelope 10 1 15006   57578   35511   78426 1   normal
envelope 11 1 15006   55768   11916   58338 10   normal|freezer
envelope 12 1 13728   56304   35524   79013 1   normal
envelope 13 1 15104   60923   17937   57066 10   normal
envelope 14 1 11373   58388   13983   53804 1   normal
envelope 15 1 18575   55186   18718   54381 1   normal
envelope 16 1 11639   50071   17363   58375 1   normal
envelope 17 2 11273   53410   10860   60441 2   normal
envelope 18 3 13766   59041   13963   57769 3   normal
envelope 19 1 16138   55801   16183   56024 1   normal
envelope 20 2 13728   56146   14301   61694 2   normal
envelope 21 2 12848   57059   13586   59734 2   normal
envelope 22 2 13645   56488   13955   55859 2   normal
envelope 23 3 12896   56838   13937   55908 3   normal
envelope 24 4 13341   58150   35709   78924 4   normal
envelope 25 1 13483   57303   13614   57820 1   normal
envelope 26 1 12741   63478   15230   59838 1   normal
envelope 27 2 14676   51691   16501   48361 2   normal
envelope 28 2 13748   54933   14120   56110 2   normal
envelope 29 1 17875   59565   20453   61903 1   normal
envelope 30 3 9772    56424   6404    55601 3   normal
